"vars" "type" "level"
"NCOMP" "g" 1
"ETAMi" "c" 9
"SESSO" "c" 2
"STCIVMi" "c" 4
"ISTRMi" "c" 4
"CONDMi" "c" 3
"LAVPAS" "c" 2
"POSIZMi" "c" 4
"VSPESA" "g" 1
"FREQSPO" "p" 1
"ORESETSP" "g" 1
"AMICI" "p" 1
"PARENT" "c" 2
"AMICI2" "c" 3
"VICINI" "c" 3
"PANPAS" "p" 1
"POLLO" "p" 1
"UOVA" "p" 1
"PESCE" "p" 1
"FRUTTA" "p" 1
"LEGUMI" "p" 1
"DOLCI" "p" 1
"BGAS" "g" 1
"BFPAS" "p" 1
"BICFUORIM" "g" 1
"NBICALCM" "g" 1
"FUMO" "c" 3
"FRFUMO" "p" 1
"NSIGARM" "g" 1
"SALUTE" "g" 1
"CRONI" "c" 2
"LIMITA" "c" 3
"SF9" "p" 1
"SF11" "p" 1
"SF13" "p" 1
"SF14" "p" 1
"SF15" "p" 1
"FREQSERIE" "p" 1
"CHIES" "p" 1
"INCSPI" "g" 1
"BMI" "c" 2
"MH" "c" 4
"RISEC" "g" 1
"TEMLIB_CLASSES" "g" 1
"ASSIST_SANITARIA" "g" 1
"RED_MEAT_aggr" "p" 1
"LATTICINI_aggr" "p" 1
"VERD_aggr" "p" 1
"ALCOL_abituale_aggr" "p" 1
"ALCOL_unità_giorno_aggr" "p" 1
"ATT_CULT_aggr" "g" 1
"LETTURA_QUOT_aggr" "p" 1
"LETTURA_LIBRI_aggr" "p" 1
"SOC_LIFE_STRUTT_aggr" "g" 1
"QOL" "c" 2
