"ML4" "ML3" "ML2" "ML5" "ML9" "ML8" "ML7" "ML10" "ML1" "ML6" "ML12" "ML11" "ML13" "dominant_factor"
"ORESETSP" 0 0 0,01 0,01 0 0 0,01 -0,03 1,01 0 -0,01 0,01 0 "ML1"
"FREQSPO" 0 -0,01 -0,04 -0,04 -0,01 0 -0,01 0,11 0,61 0,01 0,05 -0,01 0 "ML1"
"LETTURA_LIBRI_aggr" -0,02 0,01 0,01 0,02 0 0,12 -0,05 0,49 0,01 -0,01 -0,09 -0,02 -0,01 "ML10"
"ISTRMi" 0,01 0,03 0,21 0 0,05 -0,06 -0,05 -0,48 -0,05 0 0,02 0,1 0,02 "ML10"
"LETTURA_QUOT_aggr" 0,03 0,03 0,15 -0,03 -0,04 -0,01 -0,04 0,43 0,05 -0,01 -0,03 -0,06 0 "ML10"
"SOC_LIFE_STRUTT_aggr" 0,03 -0,01 0,06 -0,02 0,01 -0,03 -0,02 0,43 0,03 0,01 0,03 0,02 0,09 "ML10"
"ATT_CULT_aggr" -0,02 -0,02 -0,21 -0,06 0,01 0,06 -0,06 0,41 0,08 -0,01 -0,06 -0,01 0,07 "ML10"
"INCSPI" 0 -0,03 0,07 0,06 -0,03 -0,05 -0,02 0,3 0,01 0,01 0,03 0,05 0,16 "ML10"
"VSPESA" -0,02 -0,02 0,05 0,01 0,17 0,04 -0,02 0,26 0,08 0,05 -0,01 -0,07 -0,04 "ML10"
"ARTCUL" 0 -0,02 -0,01 0,01 0,03 0,01 -0,02 0,22 0,04 -0,01 0 0,02 0 "ML10"
"NLAUDIOM" -0,01 0 -0,04 -0,02 0,01 0,05 -0,01 0,17 0,01 0 -0,04 0,02 -0,01 "ML10"
"LING" -0,01 -0,02 -0,06 0 0,01 0,01 -0,01 0,13 0,04 0,01 -0,01 0 0,01 "ML10"
"INFOR" 0 -0,01 -0,03 0 0,02 -0,02 0 0,1 0 0 0,03 0,01 0,02 "ML10"
"SITEC" 0 0 -0,01 0 -0,02 0,01 0,01 0 0 0 -0,01 0,81 0 "ML11"
"RISEC" -0,02 0 -0,04 0,02 0,01 -0,01 -0,08 -0,05 0 0,01 0,01 0,53 -0,1 "ML11"
"AMBIENTE" -0,04 0,01 -0,02 0 -0,02 0,02 0,14 0,08 0 -0,02 -0,01 0,2 0,01 "ML11"
"VERD_aggr" 0 -0,02 0,03 0,03 0,01 0 0 -0,02 0 0 0,73 0 0,01 "ML12"
"FRUTTA" -0,02 0,05 -0,12 -0,03 -0,03 0,02 0 -0,01 0,02 0,01 0,57 0,01 -0,03 "ML12"
"LEGUMI" 0,02 -0,01 0,02 -0,02 0,01 0,2 -0,04 -0,02 -0,01 -0,01 0,25 -0,03 -0,03 "ML12"
"PARENT" -0,01 0,01 -0,06 0,01 -0,01 -0,01 0,02 -0,03 -0,02 -0,01 -0,02 -0,06 0,53 "ML13"
"VICINI" 0,02 -0,01 0,04 0 0,01 0,02 -0,04 0,03 0,02 0,02 0 -0,06 0,51 "ML13"
"AMICI2" 0 0,01 0 -0,03 -0,01 0,03 -0,03 0,07 0,01 -0,01 0,03 -0,01 0,42 "ML13"
"AMICI" -0,02 -0,03 0,11 0,08 0,02 0,03 0,24 0,01 -0,07 0,02 0,03 -0,05 -0,34 "ML13"
"ETAMi" 0 -0,01 0,94 0,01 0,03 0,01 0,01 0 -0,02 0 -0,02 -0,02 -0,02 "ML2"
