"ML4" "ML3" "ML2" "ML5" "ML9" "ML8" "ML7" "ML10" "ML1" "ML6" "ML12" "ML11" "ML13" "dominant_factor"
"ORESETSP" 0,1 -0,02 -0,26 -0,17 -0,21 0,06 -0,17 0,25 1 -0,01 -0,05 -0,13 0,11 "ML1"
"FREQSPO" 0,07 0 -0,25 -0,18 -0,18 0,04 -0,14 0,29 0,66 0 0,02 -0,11 0,09 "ML1"
"ISTRMi" -0,04 0,02 0,31 0,11 0,2 -0,09 0,07 -0,56 -0,26 0,01 0,02 0,17 -0,06 "ML10"
"LETTURA_LIBRI_aggr" 0,01 -0,02 -0,05 -0,03 -0,04 0,17 -0,09 0,52 0,16 0 -0,12 -0,11 0,03 "ML10"
"ATT_CULT_aggr" 0,03 0 -0,31 -0,17 -0,17 0,07 -0,17 0,5 0,29 -0,02 -0,06 -0,12 0,17 "ML10"
"LETTURA_QUOT_aggr" 0,07 0,01 0,04 -0,09 -0,06 0,03 -0,1 0,44 0,16 -0,01 -0,08 -0,16 0,05 "ML10"
"SOC_LIFE_STRUTT_aggr" 0,04 -0,01 -0,04 -0,1 -0,04 0,01 -0,07 0,43 0,14 0,01 -0,01 -0,07 0,13 "ML10"
"INCSPI" 0,02 -0,04 -0,01 -0,01 -0,04 -0,02 -0,06 0,29 0,08 0,01 -0,02 -0,03 0,17 "ML10"
"VSPESA" -0,06 -0,05 0,08 0 0,16 0,09 0 0,27 0,11 0,07 -0,05 -0,08 -0,03 "ML10"
"ARTCUL" 0 -0,02 -0,05 -0,03 -0,01 0,04 -0,03 0,23 0,1 0 -0,02 -0,02 0,02 "ML10"
"NLAUDIOM" -0,01 0 -0,06 -0,04 -0,02 0,06 -0,02 0,19 0,07 0 -0,04 -0,01 0,01 "ML10"
"LING" -0,01 -0,02 -0,09 -0,03 -0,03 0,03 -0,03 0,16 0,1 0 -0,01 -0,02 0,03 "ML10"
"INFOR" -0,01 0 -0,05 -0,03 -0,01 -0,02 0 0,1 0,03 0 0,02 0 0,03 "ML10"
"SITEC" -0,19 0,08 -0,01 0,02 0,14 0,03 0,29 -0,11 -0,1 0,02 0,07 0,81 -0,11 "ML11"
"RISEC" -0,13 0,05 -0,02 0,04 0,1 0,02 0,15 -0,13 -0,08 0,03 0,06 0,53 -0,15 "ML11"
"AMBIENTE" -0,12 0,03 -0,02 0 0,06 0,03 0,21 0,05 -0,03 -0,01 0,02 0,25 -0,05 "ML11"
"VERD_aggr" -0,03 0,08 -0,08 -0,04 0 0,05 0,07 -0,08 -0,06 -0,01 0,72 0,06 -0,02 "ML12"
"FRUTTA" -0,02 0,15 -0,23 -0,13 -0,11 0,04 0,04 -0,02 0,03 -0,01 0,6 0,07 -0,02 "ML12"
"LEGUMI" 0,03 0,02 0 -0,01 0,01 0,21 -0,01 -0,01 -0,01 0 0,26 -0,01 -0,05 "ML12"
"PARENT" 0,02 0,01 -0,13 -0,05 -0,09 -0,08 -0,14 0,02 0,05 -0,03 -0,02 -0,11 0,54 "ML13"
"VICINI" 0,07 -0,02 -0,05 -0,06 -0,07 -0,03 -0,21 0,09 0,09 0 -0,03 -0,16 0,52 "ML13"
"AMICI" -0,12 -0,07 0,25 0,19 0,21 0,1 0,37 -0,09 -0,2 0,05 0,02 0,1 -0,44 "ML13"
"AMICI2" 0,04 0,02 -0,1 -0,09 -0,09 -0,01 -0,16 0,12 0,1 -0,03 0,01 -0,09 0,44 "ML13"
"ETAMi" -0,05 -0,12 0,97 0,2 0,48 0,07 0,17 -0,16 -0,29 0,06 -0,18 0,01 -0,18 "ML2"
"STCIVMi" -0,08 -0,09 0,54 0,17 0,31 0,07 0,12 -0,16 -0,2 0,06 -0,09 0,05 -0,12 "ML2"
"CONDMi" -0,09 -0,13 0,5 0,23 0,34 0,04 0,09 -0,26 -0,2 0,04 -0,14 0,08 -0,03 "ML2"
